,count,mean,std,min,25%,50%,75%,max
t1gd_frontal_nc_ratio,446.0,0.008125673112430265,0.01814773561720905,0.0,0.0,0.0010165513482995,0.007449576720219725,0.2325481149614204
t1gd_temporal_ed_ratio,446.0,0.045778179193094744,0.05497468895713684,0.0,0.003466314618022075,0.0243329704980126,0.0684985674196215,0.3259336430269276
t1gd_temporal_en_ratio,446.0,0.014793291044430359,0.021707640867936032,0.0,0.0,0.0042696958285828,0.0220829018077368,0.1177225295889067
t1gd_temporal_nc_ratio,446.0,0.008272414289476058,0.015963216085665737,0.0,0.0,0.0002797144327364,0.0092432410905744,0.1212486931923006
t1gd_parietal_ed_ratio,446.0,0.03735542216344095,0.053466279258823184,0.0,0.000651790847486325,0.0144878762247497,0.0520084856461263,0.3017473621192846
t1gd_parietal_en_ratio,446.0,0.010305515586275385,0.019119769422855898,0.0,0.0,5.2486338159237285e-05,0.013057330285240826,0.1075594027567746
t1gd_parietal_nc_ratio,446.0,0.005238876036856887,0.013389534244427211,0.0,0.0,0.0,0.0030215930051023,0.1114970051980263
t1gd_occipital_ed_ratio,446.0,0.014897157177246581,0.02829519114686128,0.0,0.0,0.0003054841252779,0.01530433042999205,0.1830437314360372
t1gd_occipital_en_ratio,446.0,0.006021019162275774,0.017547801063652935,0.0,0.0,0.0,0.000606601501372525,0.1175325821404353
t1gd_occipital_nc_ratio,446.0,0.003333296167461589,0.012906101526385503,0.0,0.0,0.0,0.0,0.1191022280471821
flair_global_nc_en_ratio,446.0,2.171480077692296,36.28587760400878,0.0,0.0939760685749274,0.3381509904930692,0.6398791832337388,766.6205357142857
flair_global_ed_en_ratio,446.0,13.066322092355492,69.77462488847297,0.0,1.3245607408947104,2.707677780157311,5.525543829853643,1188.9811320754718
flair_global_ed_total_ratio,446.0,0.6705566501833097,0.228214268957851,0.0016645985291002,0.5158550796918205,0.6859539084779183,0.8521084431632079,1.0
flair_tumor_burden_index,446.0,0.0597610394621159,0.036407421334297196,0.0006723673632466,0.030011238489809522,0.05624246846869095,0.08351861583347557,0.1778933796725072
flair_frontal_ed_ratio,446.0,0.0455412080981397,0.05252595521687177,0.0,0.007594933490983825,0.02654795625011975,0.06363732870469208,0.2462996076413456
flair_frontal_en_ratio,446.0,0.0130060941467554,0.018897506716626353,0.0,0.00021380751868155,0.0051542190442067995,0.017414671009033475,0.1074441458861739
flair_frontal_nc_ratio,446.0,0.008126383943054065,0.01814742420624472,0.0,0.0,0.0010165513482995,0.007449576720219725,0.2325481149614204
flair_temporal_ed_ratio,446.0,0.04580381641917305,0.0549566281086177,0.0,0.003585785461763275,0.0243329704980126,0.0684985674196215,0.3259336430269276
flair_temporal_en_ratio,446.0,0.014820583155844768,0.02169702714929896,0.0,0.0,0.0043687747587154505,0.0220829018077368,0.1177225295889067
flair_temporal_nc_ratio,446.0,0.008282941507267232,0.015959296104170292,0.0,0.0,0.00029642062943545,0.0092432410905744,0.1212486931923006
flair_parietal_ed_ratio,446.0,0.037325524737903695,0.05346022413651478,0.0,0.000651790847486325,0.0144878762247497,0.05182342435360648,0.3017473621192846
flair_parietal_en_ratio,446.0,0.010268590396537873,0.019060378619711393,0.0,0.0,5.2486338159237285e-05,0.013057330285240826,0.1075594027567746
flair_parietal_nc_ratio,446.0,0.005222632732768662,0.013367172886141875,0.0,0.0,0.0,0.0030215930051023,0.1114970051980263
flair_occipital_ed_ratio,446.0,0.014909649772170458,0.028289828600962973,0.0,0.0,0.0003341927069542,0.01530433042999205,0.1830437314360372
flair_occipital_en_ratio,446.0,0.006021019162275774,0.017547801063652935,0.0,0.0,0.0,0.000606601501372525,0.1175325821404353
flair_occipital_nc_ratio,446.0,0.003333296167461589,0.012906101526385503,0.0,0.0,0.0,0.0,0.1191022280471821
